Motion Sensor,Temperature Sensor,RFID Sensor,Light Sensor,Date,Time
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,1.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,1.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,1.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,1.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,0,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
1,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,0,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.0,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.2,0.0,1,2025-05-19,14:26:45
1,30.2,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
1,30.1,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,0,2025-05-19,14:26:45
1,30.2,0.0,0,2025-05-19,14:26:45
1,30.2,0.0,0,2025-05-19,14:26:45
1,30.2,0.0,0,2025-05-19,14:26:45
1,30.2,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.2,0.0,0,2025-05-19,14:26:45
1,30.2,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.2,0.0,1,2025-05-19,14:26:45
0,30.2,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,1,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
1,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,0.0,0,2025-05-19,14:26:45
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.0,,0,,
0,30.0,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,0,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,0,,
1,30.1,,0,,
0,30.1,,0,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
0,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
1,30.1,,1,,
